Project_Title,field
American badger,humanities
Antelope ground squirrel,humanities
California sea lion,humanities
Cefepime,humanities
Cherry Birch Pollen,humanities
"Dove, mourning collared",humanities
Etomidate,humanities
European beaver,humanities
Greater blue-eared starling,humanities
honey bee hymenoptera venom,humanities
"Hornbill, southern ground",humanities
Indian jackal,humanities
"Kiskadee, great",humanities
"Lion, asian",humanities
Native cat,humanities
Olay Fresh Effects Soak Up the Sun Protection,humanities
Pain Relief PM,humanities
"Phalarope, red",humanities
Red brocket,humanities
Red phalarope,humanities
Red sheep,humanities
Softlips Peach Mango,humanities
"Starfish, crown of thorns",humanities
Tecfidera,humanities
"Tortoise, radiated",humanities
Two-toed sloth,humanities
"Wallaby, agile",humanities
White-winged tern,humanities
"Wombat, common",humanities
"Wombat, southern hairy-nosed",humanities
African fish eagle,IT and economics
Arthritazin Pain Relieving,IT and economics
California sea lion,IT and economics
Cherry Birch Pollen,IT and economics
Ciprofloxacin,IT and economics
"Deer, white-tailed",IT and economics
Detrol LA,IT and economics
European beaver,IT and economics
"Francolin, swainson's",IT and economics
Great kiskadee,IT and economics
Green vine snake,IT and economics
Jaguar,IT and economics
"Kiskadee, great",IT and economics
Leeks,IT and economics
"Lion, asian",IT and economics
METHADONE HYDROCHLORIDE,IT and economics
"Pigeon, wood",IT and economics
Plains zebra,IT and economics
PREP (AND) PRIME CC COLOR CORRECT SPF30 BROAD SPECTRUM,IT and economics
Red lava crab,IT and economics
"Snake, tiger",IT and economics
"Starfish, crown of thorns",IT and economics
TLB-Matrix,IT and economics
Vancomycin Hydrochloride,IT and economics
"Wallaby, agile",IT and economics
WHITE LAVENDER AND MINT ANTIBACTERIAL MOISTURIZING HAND SP,IT and economics
Wild boar;,IT and economics
"Wombat, common",IT and economics
African fish eagle,Natural Sciences and Technology
Antelope ground squirrel,Natural Sciences and Technology
Blesbok,Natural Sciences and Technology
Bontebok,Natural Sciences and Technology
California sea lion,Natural Sciences and Technology
Clindamycin in 5 Percent Dextrose,Natural Sciences and Technology
"Cormorant, king",Natural Sciences and Technology
"Deer, mule",Natural Sciences and Technology
Detrol LA,Natural Sciences and Technology
Enalapril Maleate,Natural Sciences and Technology
European beaver,Natural Sciences and Technology
European wild cat,Natural Sciences and Technology
Fanapt,Natural Sciences and Technology
Green vine snake,Natural Sciences and Technology
Halcion,Natural Sciences and Technology
honey bee hymenoptera venom,Natural Sciences and Technology
Jaguar,Natural Sciences and Technology
LACTULOSE,Natural Sciences and Technology
Leeks,Natural Sciences and Technology
Levofloxacin,Natural Sciences and Technology
"Lion, asian",Natural Sciences and Technology
METHADONE HYDROCHLORIDE,Natural Sciences and Technology
Native cat,Natural Sciences and Technology
NovoLog,Natural Sciences and Technology
"Pigeon, wood",Natural Sciences and Technology
Proparacaine Hydrochloride,Natural Sciences and Technology
Red and blue macaw,Natural Sciences and Technology
Red lava crab,Natural Sciences and Technology
Softlips Peach Mango,Natural Sciences and Technology
Surmontil,Natural Sciences and Technology
TLB-Matrix,Natural Sciences and Technology
"Tortoise, radiated",Natural Sciences and Technology
Tropical buckeye butterfly,Natural Sciences and Technology
Vancomycin Hydrochloride,Natural Sciences and Technology
WHITE LAVENDER AND MINT ANTIBACTERIAL MOISTURIZING HAND SP,Natural Sciences and Technology
"White-eye, pale",Natural Sciences and Technology
XEROSTOM,Natural Sciences and Technology
African ground squirrel (unidentified),Social Sciences
American badger,Social Sciences
Arthritazin Pain Relieving,Social Sciences
"Bandicoot, southern brown",Social Sciences
Ciprofloxacin,Social Sciences
"Cormorant, king",Social Sciences
"Dove, mourning collared",Social Sciences
Enalapril Maleate,Social Sciences
Endometrin,Social Sciences
European beaver,Social Sciences
European wild cat,Social Sciences
"Francolin, swainson's",Social Sciences
"Goose, snow",Social Sciences
Halcion,Social Sciences
Indian jackal,Social Sciences
"Legaan, ground",Social Sciences
Native cat,Social Sciences
"Parakeet, rose-ringed",Social Sciences
"Phalarope, red",Social Sciences
"Pintail, white-cheeked",Social Sciences
Red and blue macaw,Social Sciences
Red brocket,Social Sciences
Stila Hydrating Primer Oil-Free SPF 30,Social Sciences
Tecfidera,Social Sciences
Theophylline in Dextrose,Social Sciences
"Tortoise, radiated",Social Sciences
Tsessebe,Social Sciences
Two-toed sloth,Social Sciences
"White-eye, pale",Social Sciences
Tsakos Energy Navigation Ltd,humanities
Union Bankshares Corporation,social sciences
"IF Bancorp, Inc.",natural sciences and technology
"Golub Capital BDC, Inc.",it and economics
RXi Pharmaceuticals Corporation,humanities
"Lydall, Inc.",social sciences
"Cohu, Inc.",natural sciences and technology
"XG Technology, Inc",it and economics
"Natural Grocers by Vitamin Cottage, Inc.",humanities
"Nike, Inc.",natural sciences and technology
