org_name,acronym,street_name,street_number,city ,postal code
Klein Inc,praesent,Schurz,49,London,155526
"Rowe, Crist and Beier",risus,Banding,92601,Coppenhagen,58175
Robel-Hand,tincidunt,Sauthoff,93222,Paris,29830-000
Wilkinson-Maggio,duis,Butterfield,86,Rome,2525-105
"Brown, Rempel and Auer",faucibus,Grayhawk,90,Milan,
Doyle Inc,lacinia,Hauk,207,Geneva,29950
Mills Inc,M.I,Emmet,63,Athens,64080 CEDEX
Mueller-Gerhold,M.G.,Logan,5224,Thessaloniki,
Parisian-Mann,P.M.,Farmco,3,Nafplio,
Legros-Gerhold,L-G,Meadow Vale,9619,Kalamata,4312
Aufderhar Inc,A.I,Spenser,0,Ioannina,
"Hammes, Friesen and Vandervort",H.F.V,Village,15,Chalkida,K6K
"Ortiz, Dietrich and Blanda",O.D.B,Scofield,460,Areopoli,
Cummerata-Bahringer,C.B,Kings,1,Heraklion,
Morar-Streich,M.S,Dwight,35456,New York,86-260
"Mayert, Schoen and Cremin",MSC,Elmside,9639,Boston,
Lesch-Kertzmann,LK,Schlimgen,65,Houston,
"Bergstrom, Schoen and Feest",BSF,Ronald Regan,6195,Seattle,
Deckow and Sons,D&S,Butterfield,8,Barcelona,35150
Walker and Sons,W&S,West,12,Florence,
Marquardt-McGlynn,M.Mc.,Schlimgen,808,Venice,
Connelly LLC,C LLC,Morning,9762,Cairo,5509
Johnston-Lemke,JL,Helena,13710,Los Angeles,
O'Kon LLC,OKLLC,Del Mar,76611,Oslo,
Jones-Berge,JB,Bonner,379,Berlin,733048
"Durgan, Homenick and Rowe",DHR,Oxford,38790,Munich,
Beatty-Carter,BC,Kingsford,446,Prague,
Cummerata LLC,CLLC,Bunting,365,Mexico,
Kuhn Inc,KI,Aberg,9905,Toronto,85708
Deckow LLC,D.LLC,Morning,8330,Turin,9885
"Beahan, Hessel and Trantow",BHT,Dwight,6,Budapest,606525
Mueller-Abernathy,MA ,Bartelt,6839,Bratislava,
Greenholt-Pollich,PF,Walton,24,Minsk,
Connelly-Douglas,CD,Orin,59,New Jersey,
Dicki-Walker,DW,Lindbergh,5082,Dublin ,472 01
Glover Group,GG,Eagan,40723,Bath,71151
Dickens-Daniel,D-D,Meadow Ridge,234,Brighton,879-2413
"Medhurst, Raynor and Koch",MRK,Golf Course,24062,Nashville,771 31
Zboncak Group,ZG,Harper,13,Atlanta,
Kessler Inc,KI,Debra,92,Instabul,756 56
