title,description,funds,start,end,s.duration,eval date,evaluation,exec id,super id,eval id ,org,prog
honey bee hymenoptera venom,elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor,958356,8/17/19,3/23/27,2,3/4/18,5,1,1,1,Klein Inc,Jared's Pepperweed
Clindamycin in 5 Percent Dextrose,vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget,438760,3/21/03,5/17/04,1,3/2/04,9,2,2,2,"Rowe, Crist and Beier",Bluejoint
XEROSTOM,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin,813608,6/19/20,8/8/24,3,11/24/19,10,3,3,1,Klein Inc,American Beachgrass
Halcion,bibendum morbi non quam nec dui luctus rutrum nulla tellus in,460197,7/25/12,12/12/19,0,2/17/07,0,4,4,2,"Rowe, Crist and Beier",San Carlos Buckwheat
Etomidate,vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent,909993,12/29/17,7/23/24,2,7/18/19,10,5,5,1,Klein Inc,Charming Centaury
Stila Hydrating Primer Oil-Free SPF 30,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta,166984,1/9/19,4/25/22,1,10/17/21,0,6,6,2,"Rowe, Crist and Beier",Chisos Mountain Crested Coralroot
Softlips Peach Mango,pede ac diam cras pellentesque volutpat dui maecenas tristique est et,810004,6/22/17,10/14/19,2,1/9/18,10,7,7,1,Klein Inc,Canadian White Violet
Levofloxacin,vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus,276677,8/7/01,8/22/05,0,1/10/04,10,8,8,2,"Rowe, Crist and Beier",Lycianthes
TLB-Matrix,posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec,868566,2/15/11,6/4/14,1,8/12/11,7,9,9,1,Klein Inc,Largeflower Tickseed
Leeks,morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate,424892,3/27/01,9/7/23,0,7/8/05,10,10,10,2,"Rowe, Crist and Beier",Hemp Agrimony
